feature_set,method,seed,macro_f1,best_C,best_gamma
physics8,BSCM-uniform,42,0.5111470749441956,100.0,
physics8,BSCM-phi_only,42,0.5318255586224835,100.0,
physics8,BSCM-psi_only,42,0.5304048474514352,100.0,
physics8,SRQFM-fid,42,0.49723661675207903,100.0,
physics8,SRQFM-PQK,42,0.5204102041129769,100.0,
physics8,RBF-SVM,42,0.49660533664643475,100.0,0.1
physics8,RandomForest,42,0.463588247781055,,
physics8,BSCM-uniform,43,0.48727841156712315,100.0,
physics8,BSCM-phi_only,43,0.48420283878434456,100.0,
physics8,BSCM-psi_only,43,0.48349996689493885,100.0,
physics8,SRQFM-fid,43,0.4632041868556438,100.0,
physics8,SRQFM-PQK,43,0.49032304658090003,100.0,
physics8,RBF-SVM,43,0.4760768143964384,100.0,scale
physics8,RandomForest,43,0.4343036066348556,,
physics8,BSCM-uniform,44,0.507958255477285,100.0,
physics8,BSCM-phi_only,44,0.5046220558866983,100.0,
physics8,BSCM-psi_only,44,0.4977841211933214,100.0,
physics8,SRQFM-fid,44,0.4847954580030908,100.0,
physics8,SRQFM-PQK,44,0.49418323348077325,100.0,
physics8,RBF-SVM,44,0.47156596732530504,100.0,0.1
physics8,RandomForest,44,0.4328153982065416,,
physics8,BSCM-uniform,45,0.43726247396648293,100.0,
physics8,BSCM-phi_only,45,0.4598473400546468,100.0,
physics8,BSCM-psi_only,45,0.4563387209350541,100.0,
physics8,SRQFM-fid,45,0.4649941586429045,100.0,
physics8,SRQFM-PQK,45,0.47231926617238346,100.0,
physics8,RBF-SVM,45,0.41382945261989956,100.0,0.1
physics8,RandomForest,45,0.4118721144193459,,
physics8,BSCM-uniform,46,0.47102972854963643,100.0,
physics8,BSCM-phi_only,46,0.4807388675639124,100.0,
physics8,BSCM-psi_only,46,0.4777338724531371,100.0,
physics8,SRQFM-fid,46,0.49012469390307334,100.0,
physics8,SRQFM-PQK,46,0.4902159438967088,100.0,
physics8,RBF-SVM,46,0.46857118453724106,100.0,0.1
physics8,RandomForest,46,0.41930302084873744,,
pca8,BSCM-uniform,42,0.15292998557641163,10.0,
pca8,BSCM-phi_only,42,0.2012958892235424,100.0,
pca8,BSCM-psi_only,42,0.19728062799449517,100.0,
pca8,SRQFM-fid,42,0.18125828171985683,100.0,
pca8,SRQFM-PQK,42,0.18222596021375717,100.0,
pca8,RBF-SVM,42,0.17468397812705722,100.0,1.0
pca8,RandomForest,42,0.2124991832806954,,
pca8,BSCM-uniform,43,0.17570567999289713,100.0,
pca8,BSCM-phi_only,43,0.1935677324244931,100.0,
pca8,BSCM-psi_only,43,0.1983958347784186,100.0,
pca8,SRQFM-fid,43,0.19367643833512688,100.0,
pca8,SRQFM-PQK,43,0.17733888631042502,100.0,
pca8,RBF-SVM,43,0.19360215863657004,100.0,scale
pca8,RandomForest,43,0.19372207581448184,,
pca8,BSCM-uniform,44,0.16418432369485303,100.0,
pca8,BSCM-phi_only,44,0.16924614079546574,100.0,
pca8,BSCM-psi_only,44,0.16568579790584564,100.0,
pca8,SRQFM-fid,44,0.16644413033583194,100.0,
pca8,SRQFM-PQK,44,0.17410558389747363,100.0,
pca8,RBF-SVM,44,0.16922049071399653,100.0,scale
pca8,RandomForest,44,0.19020789503976007,,
pca8,BSCM-uniform,45,0.1626177583152325,100.0,
pca8,BSCM-phi_only,45,0.17345089007504277,100.0,
pca8,BSCM-psi_only,45,0.1835466839312589,100.0,
pca8,SRQFM-fid,45,0.12834651562760419,10.0,
pca8,SRQFM-PQK,45,0.16169981344369666,10.0,
pca8,RBF-SVM,45,0.1875471349284254,100.0,1.0
pca8,RandomForest,45,0.20560090311499232,,
pca8,BSCM-uniform,46,0.18508574679016224,100.0,
pca8,BSCM-phi_only,46,0.16272256634451238,100.0,
pca8,BSCM-psi_only,46,0.18225633870921362,100.0,
pca8,SRQFM-fid,46,0.154815370340527,100.0,
pca8,SRQFM-PQK,46,0.15609747406509963,100.0,
pca8,RBF-SVM,46,0.17185975740091872,100.0,scale
pca8,RandomForest,46,0.19999204418399702,,
