method,class,name,f1_point,f1_lo95,f1_hi95
BSCM-phi_only_N1800,0,Compact High Rise,0.3157894736842105,0.2,0.4275081788440567
BSCM-phi_only_N1800,1,Compact Mid Rise,0.372972972972973,0.30937259209469314,0.43478804347826083
BSCM-phi_only_N1800,2,Compact Low Rise,0.5539714867617108,0.502211766005838,0.6057166567871962
BSCM-phi_only_N1800,3,Open High Rise,0.36129032258064514,0.26012912482066,0.4616129032258064
BSCM-phi_only_N1800,4,Open Mid Rise,0.29310344827586204,0.21427836566725456,0.36822658513035084
BSCM-phi_only_N1800,5,Open Low Rise,0.5359223300970873,0.47779653529393207,0.5870204038670702
BSCM-phi_only_N1800,6,Lightweight Low Rise,0.3010752688172043,0.17777777777777778,0.41379310344827586
BSCM-phi_only_N1800,7,Large Low Rise,0.4672897196261682,0.41585587336360263,0.5144201213614743
BSCM-phi_only_N1800,8,Sparsely Built,0.4632352941176471,0.3897034950343774,0.536598293544773
BSCM-phi_only_N1800,9,Heavy Industry,0.20465116279069767,0.1351309898855911,0.27722980281221404
BSCM-phi_only_N1800,10,Dense Trees,0.8653846153846154,0.8364152347963477,0.8922772517434662
BSCM-phi_only_N1800,11,Scattered Trees,0.4588235294117647,0.357843073942525,0.5416666666666666
BSCM-phi_only_N1800,12,Bush/Scrub,0.5066666666666667,0.4084190773382812,0.5962732919254659
BSCM-phi_only_N1800,13,Low Plants,0.6701570680628273,0.6198619338516599,0.714291410344042
BSCM-phi_only_N1800,14,Bare Rock/Paved,0.5128205128205128,0.2999074074074074,0.6956521739130435
BSCM-phi_only_N1800,15,Bare Soil/Sand,0.5619834710743802,0.45098039215686275,0.6710702089192446
BSCM-phi_only_N1800,16,Water,0.9466484268125855,0.9302933474655527,0.9623225317636088
BSCM-uniform_N1800,0,Compact High Rise,0.3090909090909091,0.18816858702243786,0.41379310344827586
BSCM-uniform_N1800,1,Compact Mid Rise,0.3888888888888889,0.32492266471806114,0.4518231021773469
BSCM-uniform_N1800,2,Compact Low Rise,0.5507246376811594,0.49479070907642336,0.602569860279441
BSCM-uniform_N1800,3,Open High Rise,0.36129032258064514,0.260854675402025,0.45679894179894176
BSCM-uniform_N1800,4,Open Mid Rise,0.28695652173913044,0.21002179327521792,0.3598612103275844
BSCM-uniform_N1800,5,Open Low Rise,0.53515625,0.47797948342187213,0.5835134808853119
BSCM-uniform_N1800,6,Lightweight Low Rise,0.3333333333333333,0.20689655172413793,0.4583749999999999
BSCM-uniform_N1800,7,Large Low Rise,0.4720720720720721,0.4236845864405349,0.5186475546526789
BSCM-uniform_N1800,8,Sparsely Built,0.4206896551724138,0.3478039041703638,0.48951762523191095
BSCM-uniform_N1800,9,Heavy Industry,0.23148148148148148,0.1578689370485036,0.3027871728744768
BSCM-uniform_N1800,10,Dense Trees,0.8529886914378029,0.822950404998203,0.8808786378722251
BSCM-uniform_N1800,11,Scattered Trees,0.4049079754601227,0.3048719916007107,0.49110515233269714
BSCM-uniform_N1800,12,Bush/Scrub,0.5098039215686274,0.4102272727272727,0.5975879376140699
BSCM-uniform_N1800,13,Low Plants,0.6539792387543253,0.6040464300892477,0.6991052817523405
BSCM-uniform_N1800,14,Bare Rock/Paved,0.45,0.25,0.6382978723404256
BSCM-uniform_N1800,15,Bare Soil/Sand,0.5785123966942148,0.46956521739130436,0.6769421487603305
BSCM-uniform_N1800,16,Water,0.9489655172413793,0.9323282272070217,0.9641496329223167
BSCM-14q_N800,0,Compact High Rise,0.2,0.0,0.38095238095238093
BSCM-14q_N800,1,Compact Mid Rise,0.3316062176165803,0.2473088075389634,0.41379310344827586
BSCM-14q_N800,2,Compact Low Rise,0.5045871559633027,0.4149270096532153,0.5844918346593287
BSCM-14q_N800,3,Open High Rise,0.15384615384615385,0.03507259528130671,0.2785502373417721
BSCM-14q_N800,4,Open Mid Rise,0.3492063492063492,0.23929663608562693,0.4406779661016949
BSCM-14q_N800,5,Open Low Rise,0.45714285714285713,0.36458205049261083,0.5384615384615384
BSCM-14q_N800,6,Lightweight Low Rise,0.0,0.0,0.0
BSCM-14q_N800,7,Large Low Rise,0.4743083003952569,0.3919826086956522,0.543411320754717
BSCM-14q_N800,8,Sparsely Built,0.336283185840708,0.22017889908256882,0.45390070921985815
BSCM-14q_N800,9,Heavy Industry,0.2857142857142857,0.14487577639751553,0.4155844155844156
BSCM-14q_N800,10,Dense Trees,0.9097222222222222,0.8704190638251897,0.9423214285714285
BSCM-14q_N800,11,Scattered Trees,0.28125,0.14545454545454545,0.4232142857142856
BSCM-14q_N800,12,Bush/Scrub,0.13333333333333333,0.03333333333333333,0.25
BSCM-14q_N800,13,Low Plants,0.5827338129496403,0.5122556390977444,0.6530680272108843
BSCM-14q_N800,14,Bare Rock/Paved,0.5,0.14285714285714285,0.7777777777777778
BSCM-14q_N800,15,Bare Soil/Sand,0.6984126984126984,0.5531914893617021,0.8125264830508474
BSCM-14q_N800,16,Water,0.9667673716012085,0.9470399826700501,0.9844260872081247
RF_phys8_N1800,0,Compact High Rise,0.24489795918367346,0.0851063829787234,0.393606557377049
RF_phys8_N1800,1,Compact Mid Rise,0.3582887700534759,0.2952320897213753,0.41559480519480524
RF_phys8_N1800,2,Compact Low Rise,0.525096525096525,0.47208681846344486,0.5797612790532991
RF_phys8_N1800,3,Open High Rise,0.33043478260869563,0.2222222222222222,0.4444903581267217
RF_phys8_N1800,4,Open Mid Rise,0.22797927461139897,0.13871756241544705,0.31089182715807995
RF_phys8_N1800,5,Open Low Rise,0.4671280276816609,0.41437845021468,0.5154282736711837
RF_phys8_N1800,6,Lightweight Low Rise,0.0,0.0,0.0
RF_phys8_N1800,7,Large Low Rise,0.5686546463245492,0.5258291741503178,0.6100470451380096
RF_phys8_N1800,8,Sparsely Built,0.36097560975609755,0.27883376288659795,0.4456005368624758
RF_phys8_N1800,9,Heavy Industry,0.12949640287769784,0.0575436793422405,0.20382165605095542
RF_phys8_N1800,10,Dense Trees,0.8469860896445132,0.8146790065604499,0.8736697351067989
RF_phys8_N1800,11,Scattered Trees,0.3275862068965517,0.2161679536679537,0.43286398197690784
RF_phys8_N1800,12,Bush/Scrub,0.45901639344262296,0.3433390508862207,0.5565372670807454
RF_phys8_N1800,13,Low Plants,0.6780141843971631,0.6371675094816688,0.7176781002638523
RF_phys8_N1800,14,Bare Rock/Paved,0.3448275862068966,0.1,0.55
RF_phys8_N1800,15,Bare Soil/Sand,0.5950413223140496,0.4837934243176179,0.6964781746031745
RF_phys8_N1800,16,Water,0.9577080491132333,0.9424946874070296,0.9723018080161328
RF_phys14_N800,0,Compact High Rise,0.42857142857142855,0.16,0.6400714285714285
