class,name,delta_point,delta_lo95,delta_hi95,ci_excludes_zero
0,Compact High Rise,0.09504229309130012,-0.04407173541459584,0.24558350994837058,False
1,Compact Mid Rise,0.011719144702774738,-0.05699762422954712,0.08209027015783603,False
2,Compact Low Rise,0.029083353797273975,-0.0197910741479617,0.07710972703289364,False
3,Open High Rise,0.04166818421089924,-0.0737144307810819,0.1571886345039203,False
4,Open Mid Rise,0.06464734048896646,-0.014531743146442871,0.14471671117896517,False
5,Open Low Rise,0.06800835279849807,0.020781682090668576,0.11084734967404722,True
6,Lightweight Low Rise,0.2972637731495125,0.16723534169872845,0.42542552242680115,True
7,Large Low Rise,-0.09731308335521006,-0.15279951239276435,-0.04235469563666564,True
8,Sparsely Built,0.10073458651523608,0.022188837019954135,0.177629153961507,True
9,Heavy Industry,0.077652640945241,-0.006364063931104914,0.15984661091762306,False
10,Dense Trees,0.018642391245020245,-0.010867909748817054,0.048247828738109164,False
11,Scattered Trees,0.133115901572956,0.027055054757249217,0.2340780575659738,True
12,Bush/Scrub,0.0495523906453213,-0.02583133133602738,0.13228540909649508,False
13,Low Plants,-0.008775795990793799,-0.05087385142305095,0.033363123022866994,False
14,Bare Rock/Paved,0.19472980184059674,-0.04295238095238096,0.41341847041847035,False
15,Bare Soil/Sand,-0.03727860713374818,-0.10330540868660062,0.024727045435283482,False
16,Water,-0.01128282179700373,-0.02227358610789482,-0.0014439079832177545,True
