scale,dataset,features,N_pool,method,kernel_path,pool_loader,protocol,status,n_pool_actual,f1_mean,f1_std,acc_mean,acc_std,best_C_mode,n_splits
8q,So2Sat,physics-8,1800,BSCM-uniform (Fid),/mnt/d/Quantum_kernel/quantum-sat-classification/results/bscm/K_bscm_physics8_uniform.npy,so2sat_phys8,E32,ok,1800,0.48293518890094467,0.02708750573157493,0.5788888888888889,0.013936953868316133,100,5
8q,So2Sat,physics-8,1800,BSCM-phi_only (Fid),/mnt/d/Quantum_kernel/quantum-sat-classification/results/bscm/K_bscm_physics8_phi_only.npy,so2sat_phys8,E32,ok,1800,0.4922473321824171,0.024357700698896253,0.5837037037037037,0.013323041295262895,100,5
8q,So2Sat,physics-8,1800,BSCM-psi_only (Fid),/mnt/d/Quantum_kernel/quantum-sat-classification/results/bscm/K_bscm_physics8_psi_only.npy,so2sat_phys8,E32,ok,1800,0.4891523057855773,0.02455744830625203,0.5818518518518518,0.010823436441631473,100,5
8q,So2Sat,physics-8,1800,SRQFM-fid,/mnt/d/Quantum_kernel/quantum-sat-classification/results/bscm/K_srqfm_fid_physics8.npy,so2sat_phys8,E32,ok,1800,0.4800710228313583,0.01363712721910275,0.5755555555555556,0.011851851851851834,100,5
8q,So2Sat,physics-8,1800,SRQFM-PQK,/mnt/d/Quantum_kernel/quantum-sat-classification/results/bscm/K_srqfm_pqk_physics8.npy,so2sat_phys8,E32,ok,1800,0.49349033884874843,0.015453976638361696,0.584074074074074,0.009558139185602896,100,5
8q,EuroSAT,physics-8,1500,BSCM-uniform (Fid),/mnt/d/Quantum_kernel/quantum-sat-classification/results/eurosat_bscm_fixed/kernels/K_pool_bscm_physics8.npy,eurosat_phys8_E33,E33_eurosat,ok,1500,0.03181512958016526,0.0082328750124734,0.1204,0.013230268326832984,1,5
8q,EuroSAT,physics-8,1500,SRQFM-fid,/mnt/d/Quantum_kernel/quantum-sat-classification/results/eurosat_bscm_fixed/kernels/K_pool_srqfm_linear_physics8.npy,eurosat_phys8_E33,E33_eurosat,ok,1500,0.6564569198893381,0.028071956257209398,0.6744000000000001,0.027463430230034974,100,5
8q,EuroSAT,physics-8,1500,SG-BSCM (Fid),/mnt/d/Quantum_kernel/quantum-sat-classification/results/sg_bscm/K_SG-BSCM_eurosat_physics8.npy,eurosat_phys8_E33,E33_eurosat,ok,1500,0.6637635216679558,0.02711233502459761,0.6832,0.02646053665366594,100,5
8q,EuroSAT,physics-8,1500,BSCM-uniform-PQK,/mnt/d/Quantum_kernel/quantum-sat-classification/results/sg_bscm_pqk/K_BSCM-PQK_eurosat_physics8.npy,eurosat_phys8_E33,E33_eurosat,ok,1500,0.6543864746796284,0.02356217492085538,0.6719999999999999,0.023151673805580433,100,5
8q,EuroSAT,physics-8,1500,SG-BSCM-PQK,/mnt/d/Quantum_kernel/quantum-sat-classification/results/sg_bscm_pqk/K_SG-BSCM-PQK_eurosat_physics8.npy,eurosat_phys8_E33,E33_eurosat,ok,1500,0.6676028979098444,0.03012556224494485,0.6856,0.030761014287568587,100,5
8q,EuroSAT,physics-8,1500,SRQFM-PQK,/mnt/d/Quantum_kernel/quantum-sat-classification/results/sg_bscm_pqk/K_SRQFM-PQK_eurosat_physics8.npy,eurosat_phys8_E33,E33_eurosat,ok,1500,0.660640718020361,0.026619003900316997,0.6772,0.026003076741031996,100,5
14q,So2Sat,physics-Fisher-14,800,BSCM-uniform (Fid),/mnt/d/Quantum_kernel/quantum-sat-classification/results/bscm_14q_test/K_bscm_14q_phys14_uniform_tau0.25_N800.npy,bscm_14q,bscm_14q,ok,800,0.4178804559935769,0.038766584196923304,0.5541666666666666,0.03238226537954243,100,5
16q,So2Sat,physics-16,10000,BSCM-PQK,/mnt/d/Quantum_kernel/quantum-sat-classification/results/e38_max_data/cache_so2sat.npz,so2sat_max,E38,ok,10000,0.6137248200754178,0.006892069232657748,0.7028,0.002679966832298884,100,5
16q,So2Sat,physics-16,10000,SRQFM-PQK,/mnt/d/Quantum_kernel/quantum-sat-classification/results/e38_max_data/cache_so2sat_srqfm.npz,so2sat_max,E38,ok,10000,0.6151906041645093,0.006120378187872427,0.7021333333333335,0.007169689285069782,100,5
16q,So2Sat,physics-16,10000,Standard-PQK (Havlicek),/mnt/d/Quantum_kernel/quantum-sat-classification/results/e38_max_data/cache_so2sat_standard_pqk.npz,so2sat_max,E38,ok,10000,0.4419876719247487,0.006436587658821506,0.5192666666666667,0.006183849933496103,10,5
16q,EuroSAT,Fisher-16,10000,BSCM-PQK,/mnt/d/Quantum_kernel/quantum-sat-classification/results/e38_max_data/cache_eurosat.npz,eurosat_max,E38,ok,10000,0.8038477506434303,0.004159624541449001,0.8148666666666667,0.003409789827345192,100,5
16q,EuroSAT,Fisher-16,10000,SRQFM-PQK,/mnt/d/Quantum_kernel/quantum-sat-classification/results/e38_max_data/cache_eurosat_srqfm.npz,eurosat_max,E38,ok,10000,0.7976987298831247,0.0037422827198927964,0.8089333333333334,0.003561522770451496,100,5
16q,EuroSAT,Fisher-16,10000,Standard-PQK (Havlicek),/mnt/d/Quantum_kernel/quantum-sat-classification/results/e38_max_data/cache_eurosat_standard_pqk.npz,eurosat_max,E38,ok,10000,0.7064903352068704,0.007750432995931837,0.7197333333333333,0.007448788119180506,100,5
classical,So2Sat,physics-8,1800,RBF-SVM,(classical),,E32,ok,1800,0.46532975110506375,0.027551187443906184,0.5648148148148149,0.016728281171312896,-1,5
classical,So2Sat,physics-8,1800,RandomForest,(classical),,E32,ok,1800,0.4323764775781071,0.017716801383557478,0.5881481481481481,0.010115926136109385,-1,5
classical,EuroSAT,physics-8,1500,RBF-SVM,(classical),,E33_eurosat,ok,1500,0.647688769278293,0.02489645825030868,0.6719999999999999,0.0234264807429541,-1,5
classical,EuroSAT,physics-8,1500,RandomForest,(classical),,E33_eurosat,ok,1500,0.5861280729561668,0.02320843392715929,0.6075999999999999,0.022032702966272678,-1,5
classical,So2Sat,physics-Fisher-14,800,RBF-SVM,(classical),,bscm_14q,ok,800,0.41814831667035923,0.04232257373411758,0.5525,0.03370624736026115,-1,5
classical,So2Sat,physics-Fisher-14,800,RandomForest,(classical),,bscm_14q,ok,800,0.43035816174634123,0.0457657861632314,0.6108333333333333,0.025083194905487348,-1,5
classical,So2Sat,physics-16,10000,RBF-SVM,(classical),,E38,ok,10000,0.6124427656315297,0.01353531803877009,0.7011333333333333,0.010647065323364933,-1,5
classical,So2Sat,physics-16,10000,RandomForest,(classical),,E38,ok,10000,0.6108732913706494,0.013962598374990165,0.7196666666666667,0.007164728420068222,-1,5
classical,EuroSAT,Fisher-16,10000,RBF-SVM,(classical),,E38,ok,10000,0.8123901450947988,0.002483282843448198,0.8235333333333333,0.0020504741998973062,-1,5
classical,EuroSAT,Fisher-16,10000,RandomForest,(classical),,E38,ok,10000,0.7181218951153877,0.0061144226658529964,0.7356,0.006034714390737756,-1,5
