dataset,method,L,seed,f1
so2sat,SRQFM-PQK,2,42,0.5165367882282413
so2sat,SRQFM-PQK,2,43,0.4722729096064218
so2sat,SRQFM-PQK,2,44,0.5293079798435745
so2sat,SRQFM-PQK,2,45,0.49468042792119205
so2sat,SRQFM-PQK,2,46,0.4760059725677359
so2sat,BSCM-PQK,2,42,0.5204196331789915
so2sat,BSCM-PQK,2,43,0.44839703775159745
so2sat,BSCM-PQK,2,44,0.5186717816402314
so2sat,BSCM-PQK,2,45,0.49943115813797345
so2sat,BSCM-PQK,2,46,0.47883257971462273
so2sat,SG-BSCM-PQK,2,42,0.5226473939167686
so2sat,SG-BSCM-PQK,2,43,0.43276854604262105
so2sat,SG-BSCM-PQK,2,44,0.5131157234749256
so2sat,SG-BSCM-PQK,2,45,0.48299906583311153
so2sat,SG-BSCM-PQK,2,46,0.479246142353723
so2sat,SRQFM-PQK,4,42,0.4840603258223376
so2sat,SRQFM-PQK,4,43,0.471067125698798
so2sat,SRQFM-PQK,4,44,0.503834055329208
so2sat,SRQFM-PQK,4,45,0.4632847921868202
so2sat,SRQFM-PQK,4,46,0.47154498932076894
so2sat,BSCM-PQK,4,42,0.4981995949084695
so2sat,BSCM-PQK,4,43,0.473327596878811
so2sat,BSCM-PQK,4,44,0.49190980710036325
so2sat,BSCM-PQK,4,45,0.4720237289164391
so2sat,BSCM-PQK,4,46,0.4582798880366652
so2sat,SG-BSCM-PQK,4,42,0.47488092690021527
so2sat,SG-BSCM-PQK,4,43,0.4574493955651005
so2sat,SG-BSCM-PQK,4,44,0.48808665412628294
so2sat,SG-BSCM-PQK,4,45,0.4878805956302366
so2sat,SG-BSCM-PQK,4,46,0.4523829882109302
so2sat,SRQFM-PQK,6,42,0.4731153718526947
so2sat,SRQFM-PQK,6,43,0.4556654442107318
so2sat,SRQFM-PQK,6,44,0.4924731210109576
so2sat,SRQFM-PQK,6,45,0.4320064979874089
so2sat,SRQFM-PQK,6,46,0.45870227039040296
so2sat,BSCM-PQK,6,42,0.49626167318182074
so2sat,BSCM-PQK,6,43,0.479286140863149
so2sat,BSCM-PQK,6,44,0.48952753788824893
so2sat,BSCM-PQK,6,45,0.46206888805820556
so2sat,BSCM-PQK,6,46,0.4749281208168058
so2sat,SG-BSCM-PQK,6,42,0.4718000767024391
