method,seed,macro_f1,best_C,best_gamma
SRQFM-PQK,42,0.4979125597808415,100.0,
ZZ-PQK,42,0.43936685919312746,100.0,
AGPQK,42,0.2845347167722315,100.0,
RBF-SVM,42,0.4978295581380961,100.0,scale
RandomForest,42,0.4826937334568062,,
SRQFM-PQK,43,0.5008496690693752,100.0,
ZZ-PQK,43,0.48345914413710983,10.0,
AGPQK,43,0.28469720021731554,100.0,
RBF-SVM,43,0.5438951358915741,100.0,scale
RandomForest,43,0.5273172288839568,,
SRQFM-PQK,44,0.4573183659883912,100.0,
ZZ-PQK,44,0.44371245855919966,100.0,
AGPQK,44,0.2868838116352829,10.0,
RBF-SVM,44,0.5329916820329249,100.0,scale
RandomForest,44,0.478782908469847,,
SRQFM-PQK,45,0.4833141281638602,100.0,
ZZ-PQK,45,0.4306163649730221,10.0,
AGPQK,45,0.310854607918945,100.0,
RBF-SVM,45,0.5004903094610866,100.0,scale
RandomForest,45,0.4899882426875563,,
SRQFM-PQK,46,0.5228298717927159,100.0,
ZZ-PQK,46,0.42735426148280936,100.0,
AGPQK,46,0.29668243081103485,100.0,
RBF-SVM,46,0.5164075744348314,10.0,0.1
RandomForest,46,0.5054350343530679,,
