N,seed,kernel,macro_f1,best
250,42,AGPQK,0.32485423619605797,
250,42,RBF-tuned,0.4004538651597475,"{'C': 100, 'gamma': 0.01}"
250,43,AGPQK,0.274412816972038,
250,43,RBF-tuned,0.3545005017237121,"{'C': 10, 'gamma': 0.1}"
250,44,AGPQK,0.31177311257798695,
250,44,RBF-tuned,0.36356946944271656,"{'C': 100, 'gamma': 'scale'}"
250,45,AGPQK,0.37423312166392597,
250,45,RBF-tuned,0.4496443750206296,"{'C': 100, 'gamma': 0.1}"
250,46,AGPQK,0.2942726384258379,
250,46,RBF-tuned,0.3954460234669048,"{'C': 100, 'gamma': 0.1}"
500,42,AGPQK,0.35204622551121856,
500,42,RBF-tuned,0.42951865832488667,"{'C': 100, 'gamma': 0.01}"
500,43,AGPQK,0.3261746719581735,
500,43,RBF-tuned,0.3774473346632768,"{'C': 100, 'gamma': 0.1}"
500,44,AGPQK,0.36455311302200133,
500,44,RBF-tuned,0.4688906869575816,"{'C': 100, 'gamma': 'scale'}"
500,45,AGPQK,0.3529476258715013,
500,45,RBF-tuned,0.3788190275950925,"{'C': 100, 'gamma': 'scale'}"
500,46,AGPQK,0.3527109507499625,
500,46,RBF-tuned,0.4139167781762641,"{'C': 100, 'gamma': 'scale'}"
1000,42,AGPQK,0.42538135424294826,
1000,42,RBF-tuned,0.486020071171403,"{'C': 100, 'gamma': 'scale'}"
1000,43,AGPQK,0.4426275674852525,
1000,43,RBF-tuned,0.4559964904204481,"{'C': 100, 'gamma': 'scale'}"
1000,44,AGPQK,0.3705971351046617,
1000,44,RBF-tuned,0.387087816244609,"{'C': 10, 'gamma': 1.0}"
1000,45,AGPQK,0.3758896928692151,
1000,45,RBF-tuned,0.438502601446192,"{'C': 100, 'gamma': 'scale'}"
1000,46,AGPQK,0.44836353887928304,
1000,46,RBF-tuned,0.517726444575383,"{'C': 100, 'gamma': 0.1}"
1500,42,AGPQK,0.4901151176743057,
1500,42,RBF-tuned,0.5515483642873917,"{'C': 100, 'gamma': 0.1}"
1500,43,AGPQK,0.44697519551426956,
1500,43,RBF-tuned,0.5060533692886634,"{'C': 100, 'gamma': 'scale'}"
1500,44,AGPQK,0.3938258707246437,
1500,44,RBF-tuned,0.48757111623225335,"{'C': 100, 'gamma': 0.1}"
1500,45,AGPQK,0.424717393224031,
1500,45,RBF-tuned,0.5268648395114157,"{'C': 100, 'gamma': 0.1}"
1500,46,AGPQK,0.47707017770041144,
1500,46,RBF-tuned,0.5341040711283481,"{'C': 100, 'gamma': 0.1}"
2000,42,AGPQK,0.38661706265212264,
2000,42,RBF-tuned,0.4846047045385378,"{'C': 100, 'gamma': 'scale'}"
2000,43,AGPQK,0.42359201036827476,
2000,43,RBF-tuned,0.5147950472333022,"{'C': 100, 'gamma': 0.1}"
2000,44,AGPQK,0.45411388593233326,
2000,44,RBF-tuned,0.5967562043331656,"{'C': 100, 'gamma': 'scale'}"
2000,45,AGPQK,0.4090635464253491,
2000,45,RBF-tuned,0.5533725436832555,"{'C': 100, 'gamma': 0.1}"
2000,46,AGPQK,0.417920401714301,
2000,46,RBF-tuned,0.5076282037786164,"{'C': 100, 'gamma': 0.1}"
