dataset,feature_set,method,k_per_class,seed,macro_f1,n_train,n_test
so2sat,physics8,SG-BSCM,2,0,0.2734512593334574,34,1766
so2sat,physics8,BSCM-uniform,2,0,0.26880791677697846,34,1766
so2sat,physics8,SRQFM-fid,2,0,0.21716905823360136,34,1766
so2sat,physics8,RBF-SVM,2,0,0.27135908153011323,34,1766
so2sat,physics8,RandomForest,2,0,0.26171842654822336,34,1766
so2sat,physics8,SG-BSCM,2,1,0.28893486350987757,34,1766
so2sat,physics8,BSCM-uniform,2,1,0.28108901318690377,34,1766
so2sat,physics8,SRQFM-fid,2,1,0.2361691566187614,34,1766
so2sat,physics8,RBF-SVM,2,1,0.2847183139788041,34,1766
so2sat,physics8,RandomForest,2,1,0.280274763487611,34,1766
so2sat,physics8,SG-BSCM,2,2,0.2708984814252622,34,1766
so2sat,physics8,BSCM-uniform,2,2,0.2794387501360114,34,1766
so2sat,physics8,SRQFM-fid,2,2,0.24366384229598856,34,1766
so2sat,physics8,RBF-SVM,2,2,0.26998604654914643,34,1766
so2sat,physics8,RandomForest,2,2,0.23257688213235697,34,1766
so2sat,physics8,SG-BSCM,2,3,0.2604207189947845,34,1766
so2sat,physics8,BSCM-uniform,2,3,0.26603701584955375,34,1766
so2sat,physics8,SRQFM-fid,2,3,0.22420893609114922,34,1766
so2sat,physics8,RBF-SVM,2,3,0.2657901084356558,34,1766
so2sat,physics8,RandomForest,2,3,0.24218108394348659,34,1766
so2sat,physics8,SG-BSCM,2,4,0.21572746656261144,34,1766
so2sat,physics8,BSCM-uniform,2,4,0.21392637842322848,34,1766
so2sat,physics8,SRQFM-fid,2,4,0.197741540506051,34,1766
so2sat,physics8,RBF-SVM,2,4,0.21550260264450602,34,1766
so2sat,physics8,RandomForest,2,4,0.21016260939644185,34,1766
so2sat,physics8,SG-BSCM,2,5,0.20486317794815026,34,1766
so2sat,physics8,BSCM-uniform,2,5,0.20377240024919566,34,1766
so2sat,physics8,SRQFM-fid,2,5,0.20604122536426966,34,1766
so2sat,physics8,RBF-SVM,2,5,0.20220001768350634,34,1766
so2sat,physics8,RandomForest,2,5,0.2311671105541511,34,1766
so2sat,physics8,SG-BSCM,2,6,0.24871668549644396,34,1766
so2sat,physics8,BSCM-uniform,2,6,0.24261546897124767,34,1766
so2sat,physics8,SRQFM-fid,2,6,0.2185135076724454,34,1766
so2sat,physics8,RBF-SVM,2,6,0.25927525992372163,34,1766
so2sat,physics8,RandomForest,2,6,0.2526435410504144,34,1766
so2sat,physics8,SG-BSCM,2,7,0.26469809846823855,34,1766
so2sat,physics8,BSCM-uniform,2,7,0.263920418464813,34,1766
so2sat,physics8,SRQFM-fid,2,7,0.2348591592608805,34,1766
so2sat,physics8,RBF-SVM,2,7,0.26415834834405477,34,1766
so2sat,physics8,RandomForest,2,7,0.2718743996177364,34,1766
so2sat,physics8,SG-BSCM,2,8,0.2192576780912225,34,1766
so2sat,physics8,BSCM-uniform,2,8,0.21578861071865454,34,1766
so2sat,physics8,SRQFM-fid,2,8,0.19091641646776525,34,1766
so2sat,physics8,RBF-SVM,2,8,0.23749850721336288,34,1766
so2sat,physics8,RandomForest,2,8,0.22037262578648087,34,1766
so2sat,physics8,SG-BSCM,2,9,0.27457290181827815,34,1766
so2sat,physics8,BSCM-uniform,2,9,0.2729923010350851,34,1766
so2sat,physics8,SRQFM-fid,2,9,0.24298123001552452,34,1766
so2sat,physics8,RBF-SVM,2,9,0.27020221699428226,34,1766
so2sat,physics8,RandomForest,2,9,0.2565853009583086,34,1766
so2sat,physics8,SG-BSCM,2,10,0.2286817172549052,34,1766
so2sat,physics8,BSCM-uniform,2,10,0.2211817256066184,34,1766
so2sat,physics8,SRQFM-fid,2,10,0.22268695405378633,34,1766
so2sat,physics8,RBF-SVM,2,10,0.23496723810486717,34,1766
so2sat,physics8,RandomForest,2,10,0.21563276310703478,34,1766
so2sat,physics8,SG-BSCM,2,11,0.2138899071993706,34,1766
so2sat,physics8,BSCM-uniform,2,11,0.2117841117156993,34,1766
so2sat,physics8,SRQFM-fid,2,11,0.20348966365689525,34,1766
so2sat,physics8,RBF-SVM,2,11,0.2215544678109071,34,1766
so2sat,physics8,RandomForest,2,11,0.21875072573687704,34,1766
so2sat,physics8,SG-BSCM,2,12,0.2694759423994173,34,1766
so2sat,physics8,BSCM-uniform,2,12,0.27460844311881505,34,1766
so2sat,physics8,SRQFM-fid,2,12,0.24661523261834684,34,1766
so2sat,physics8,RBF-SVM,2,12,0.268894189027491,34,1766
so2sat,physics8,RandomForest,2,12,0.2611420387848492,34,1766
so2sat,physics8,SG-BSCM,2,13,0.22111954414221743,34,1766
so2sat,physics8,BSCM-uniform,2,13,0.21958271945486432,34,1766
so2sat,physics8,SRQFM-fid,2,13,0.20788275769019005,34,1766
so2sat,physics8,RBF-SVM,2,13,0.22369028514085088,34,1766
so2sat,physics8,RandomForest,2,13,0.2366534661170876,34,1766
so2sat,physics8,SG-BSCM,2,14,0.2703929337195405,34,1766
so2sat,physics8,BSCM-uniform,2,14,0.25082061466655725,34,1766
so2sat,physics8,SRQFM-fid,2,14,0.22071224357471333,34,1766
so2sat,physics8,RBF-SVM,2,14,0.27951692642199555,34,1766
so2sat,physics8,RandomForest,2,14,0.2619078376235045,34,1766
so2sat,physics8,SG-BSCM,2,15,0.29277473810222526,34,1766
so2sat,physics8,BSCM-uniform,2,15,0.2802478772327414,34,1766
so2sat,physics8,SRQFM-fid,2,15,0.24448605980488883,34,1766
so2sat,physics8,RBF-SVM,2,15,0.2872820668837576,34,1766
so2sat,physics8,RandomForest,2,15,0.2751454658373731,34,1766
so2sat,physics8,SG-BSCM,2,16,0.18720020286331884,34,1766
so2sat,physics8,BSCM-uniform,2,16,0.1900880388046009,34,1766
so2sat,physics8,SRQFM-fid,2,16,0.1615504172276904,34,1766
so2sat,physics8,RBF-SVM,2,16,0.1724952532269408,34,1766
so2sat,physics8,RandomForest,2,16,0.19215996260809717,34,1766
so2sat,physics8,SG-BSCM,2,17,0.256625423236621,34,1766
so2sat,physics8,BSCM-uniform,2,17,0.26261046103984514,34,1766
so2sat,physics8,SRQFM-fid,2,17,0.23308308997942978,34,1766
so2sat,physics8,RBF-SVM,2,17,0.253225221539046,34,1766
so2sat,physics8,RandomForest,2,17,0.2797854992162197,34,1766
so2sat,physics8,SG-BSCM,2,18,0.2804658610259856,34,1766
so2sat,physics8,BSCM-uniform,2,18,0.2859728502993856,34,1766
so2sat,physics8,SRQFM-fid,2,18,0.26368580870933844,34,1766
so2sat,physics8,RBF-SVM,2,18,0.2827582007753492,34,1766
so2sat,physics8,RandomForest,2,18,0.24098167977476248,34,1766
so2sat,physics8,SG-BSCM,2,19,0.25892231479478517,34,1766
so2sat,physics8,BSCM-uniform,2,19,0.25796772112312405,34,1766
so2sat,physics8,SRQFM-fid,2,19,0.22749479557583804,34,1766
so2sat,physics8,RBF-SVM,2,19,0.26776452827898156,34,1766
so2sat,physics8,RandomForest,2,19,0.25130585396726957,34,1766
so2sat,physics8,SG-BSCM,5,0,0.2864121330684642,85,1715
so2sat,physics8,BSCM-uniform,5,0,0.2517011207940932,85,1715
so2sat,physics8,SRQFM-fid,5,0,0.2651734809214394,85,1715
so2sat,physics8,RBF-SVM,5,0,0.2760822134498233,85,1715
