dataset,feature_set,method,seed,macro_f1,best_C,best_gamma
so2sat,physics8,SG-BSCM,42,0.5113745808102824,100.0,
so2sat,physics8,BSCM-uniform,42,0.5111470749441956,100.0,
so2sat,physics8,SRQFM-fid,42,0.49723661675207903,100.0,
so2sat,physics8,RBF-SVM,42,0.49660533664643475,100.0,0.1
so2sat,physics8,RandomForest,42,0.463588247781055,,
so2sat,physics8,SG-BSCM,43,0.4649325977923117,100.0,
so2sat,physics8,BSCM-uniform,43,0.48727841156712315,100.0,
so2sat,physics8,SRQFM-fid,43,0.4632041868556438,100.0,
so2sat,physics8,RBF-SVM,43,0.4760768143964384,100.0,scale
so2sat,physics8,RandomForest,43,0.4343036066348556,,
so2sat,physics8,SG-BSCM,44,0.4851240864694553,100.0,
so2sat,physics8,BSCM-uniform,44,0.507958255477285,100.0,
so2sat,physics8,SRQFM-fid,44,0.4847954580030908,100.0,
so2sat,physics8,RBF-SVM,44,0.47156596732530504,100.0,0.1
so2sat,physics8,RandomForest,44,0.4328153982065416,,
so2sat,physics8,SG-BSCM,45,0.44884049986947333,100.0,
so2sat,physics8,BSCM-uniform,45,0.43726247396648293,100.0,
so2sat,physics8,SRQFM-fid,45,0.4649941586429045,100.0,
so2sat,physics8,RBF-SVM,45,0.41382945261989956,100.0,0.1
so2sat,physics8,RandomForest,45,0.4118721144193459,,
so2sat,physics8,SG-BSCM,46,0.4881662982800229,100.0,
so2sat,physics8,BSCM-uniform,46,0.47102972854963643,100.0,
so2sat,physics8,SRQFM-fid,46,0.49012469390307334,100.0,
so2sat,physics8,RBF-SVM,46,0.46857118453724106,100.0,0.1
so2sat,physics8,RandomForest,46,0.41930302084873744,,
so2sat,pca8,SG-BSCM,42,0.18781120167244006,100.0,
so2sat,pca8,BSCM-uniform,42,0.15292998557641163,10.0,
so2sat,pca8,SRQFM-fid,42,0.18125828171985683,100.0,
so2sat,pca8,RBF-SVM,42,0.17468397812705722,100.0,1.0
so2sat,pca8,RandomForest,42,0.2124991832806954,,
so2sat,pca8,SG-BSCM,43,0.1789807754545778,100.0,
so2sat,pca8,BSCM-uniform,43,0.17570567999289713,100.0,
so2sat,pca8,SRQFM-fid,43,0.19367643833512688,100.0,
so2sat,pca8,RBF-SVM,43,0.19360215863657004,100.0,scale
so2sat,pca8,RandomForest,43,0.19372207581448184,,
so2sat,pca8,SG-BSCM,44,0.1505925287797839,100.0,
so2sat,pca8,BSCM-uniform,44,0.16418432369485303,100.0,
so2sat,pca8,SRQFM-fid,44,0.16644413033583194,100.0,
so2sat,pca8,RBF-SVM,44,0.16922049071399653,100.0,scale
so2sat,pca8,RandomForest,44,0.19020789503976007,,
so2sat,pca8,SG-BSCM,45,0.15566513518940464,100.0,
so2sat,pca8,BSCM-uniform,45,0.1626177583152325,100.0,
so2sat,pca8,SRQFM-fid,45,0.12834651562760419,10.0,
so2sat,pca8,RBF-SVM,45,0.1875471349284254,100.0,1.0
so2sat,pca8,RandomForest,45,0.20560090311499232,,
so2sat,pca8,SG-BSCM,46,0.16391817520185412,100.0,
so2sat,pca8,BSCM-uniform,46,0.18508574679016224,100.0,
so2sat,pca8,SRQFM-fid,46,0.154815370340527,100.0,
so2sat,pca8,RBF-SVM,46,0.17185975740091872,100.0,scale
so2sat,pca8,RandomForest,46,0.19999204418399702,,
eurosat,physics8,SG-BSCM,42,0.6997151427576374,100.0,
eurosat,physics8,BSCM-uniform,42,0.027017658600392413,10.0,
eurosat,physics8,SRQFM-fid,42,0.6957751253870926,100.0,
eurosat,physics8,RBF-SVM,42,0.685084238157198,100.0,0.1
eurosat,physics8,RandomForest,42,0.6026006431218525,,
eurosat,physics8,SG-BSCM,43,0.6415242268795273,100.0,
eurosat,physics8,BSCM-uniform,43,0.04704513449161335,1.0,
eurosat,physics8,SRQFM-fid,43,0.6234189297122377,100.0,
eurosat,physics8,RBF-SVM,43,0.6332263312620203,100.0,0.1
eurosat,physics8,RandomForest,43,0.5552854830298901,,
eurosat,physics8,SG-BSCM,44,0.6663345699424684,100.0,
eurosat,physics8,BSCM-uniform,44,0.029980800472603753,10.0,
eurosat,physics8,SRQFM-fid,44,0.6598521063894931,100.0,
eurosat,physics8,RBF-SVM,44,0.6454897506379763,100.0,scale
eurosat,physics8,RandomForest,44,0.6105492814066159,,
eurosat,physics8,SG-BSCM,45,0.6851946582877609,100.0,
eurosat,physics8,BSCM-uniform,45,0.03218523754444587,1.0,
eurosat,physics8,SRQFM-fid,45,0.6765632520375595,100.0,
eurosat,physics8,RBF-SVM,45,0.6625388173824982,100.0,0.1
eurosat,physics8,RandomForest,45,0.6013957963083622,,
eurosat,physics8,SG-BSCM,46,0.6260490104723851,100.0,
eurosat,physics8,BSCM-uniform,46,0.022846816791770922,1.0,
eurosat,physics8,SRQFM-fid,46,0.6266751859203075,100.0,
eurosat,physics8,RBF-SVM,46,0.6121047089517723,100.0,scale
eurosat,physics8,RandomForest,46,0.5608091609141135,,
eurosat,pca8,SG-BSCM,42,0.7731593948158663,10.0,
eurosat,pca8,BSCM-uniform,42,0.7882629852518781,10.0,
eurosat,pca8,SRQFM-fid,42,0.7665689391833189,10.0,
eurosat,pca8,RBF-SVM,42,0.7723650306106504,10.0,0.1
eurosat,pca8,RandomForest,42,0.7507831170126735,,
eurosat,pca8,SG-BSCM,43,0.7381204207390502,10.0,
eurosat,pca8,BSCM-uniform,43,0.7560748104532544,10.0,
eurosat,pca8,SRQFM-fid,43,0.7438947600818555,100.0,
eurosat,pca8,RBF-SVM,43,0.7513076375173449,10.0,scale
eurosat,pca8,RandomForest,43,0.7061227152973069,,
eurosat,pca8,SG-BSCM,44,0.7633509673002696,10.0,
eurosat,pca8,BSCM-uniform,44,0.7780286850228695,10.0,
eurosat,pca8,SRQFM-fid,44,0.7692808572582238,10.0,
eurosat,pca8,RBF-SVM,44,0.7777954073271341,10.0,0.1
eurosat,pca8,RandomForest,44,0.7514368893701533,,
eurosat,pca8,SG-BSCM,45,0.7643906114730885,10.0,
eurosat,pca8,BSCM-uniform,45,0.7490663243718293,1.0,
eurosat,pca8,SRQFM-fid,45,0.7656075093579588,10.0,
eurosat,pca8,RBF-SVM,45,0.7612773704141143,10.0,0.1
eurosat,pca8,RandomForest,45,0.7424198240574678,,
eurosat,pca8,SG-BSCM,46,0.7384368578844278,10.0,
eurosat,pca8,BSCM-uniform,46,0.7202761619441835,10.0,
eurosat,pca8,SRQFM-fid,46,0.7177229043620099,10.0,
eurosat,pca8,RBF-SVM,46,0.7480595604578779,10.0,0.1
eurosat,pca8,RandomForest,46,0.7106891405437794,,
