dataset,feature_set,method,seed,macro_f1,best_C,best_gamma
so2sat,physics8,SG-BSCM-PQK,42,0.5355510829699426,100.0,
so2sat,physics8,BSCM-PQK,42,0.5148909753273996,100.0,
so2sat,physics8,SRQFM-PQK,42,0.5250351210451951,100.0,
so2sat,physics8,RBF-SVM,42,0.49660533664643475,100.0,0.1
so2sat,physics8,RandomForest,42,0.463588247781055,,
so2sat,physics8,SG-BSCM-PQK,43,0.4811953711917417,100.0,
so2sat,physics8,BSCM-PQK,43,0.505775616076414,100.0,
so2sat,physics8,SRQFM-PQK,43,0.4666836008208176,100.0,
so2sat,physics8,RBF-SVM,43,0.4760768143964384,100.0,scale
so2sat,physics8,RandomForest,43,0.4343036066348556,,
so2sat,physics8,SG-BSCM-PQK,44,0.5007642008123131,100.0,
so2sat,physics8,BSCM-PQK,44,0.4848234122816392,100.0,
so2sat,physics8,SRQFM-PQK,44,0.4963178124144285,100.0,
so2sat,physics8,RBF-SVM,44,0.47156596732530504,100.0,0.1
so2sat,physics8,RandomForest,44,0.4328153982065416,,
so2sat,physics8,SG-BSCM-PQK,45,0.46842742263624626,100.0,
so2sat,physics8,BSCM-PQK,45,0.4386202382368611,100.0,
so2sat,physics8,SRQFM-PQK,45,0.441399996952832,100.0,
so2sat,physics8,RBF-SVM,45,0.41382945261989956,100.0,0.1
so2sat,physics8,RandomForest,45,0.4118721144193459,,
so2sat,physics8,SG-BSCM-PQK,46,0.46512017251974674,100.0,
so2sat,physics8,BSCM-PQK,46,0.4761492923628114,100.0,
so2sat,physics8,SRQFM-PQK,46,0.4883361187786593,100.0,
so2sat,physics8,RBF-SVM,46,0.46857118453724106,100.0,0.1
so2sat,physics8,RandomForest,46,0.41930302084873744,,
so2sat,pca8,SG-BSCM-PQK,42,0.18245786522586094,100.0,
so2sat,pca8,BSCM-PQK,42,0.1703952221674902,10.0,
so2sat,pca8,SRQFM-PQK,42,0.17669065370585302,100.0,
so2sat,pca8,RBF-SVM,42,0.17468397812705722,100.0,1.0
so2sat,pca8,RandomForest,42,0.2124991832806954,,
so2sat,pca8,SG-BSCM-PQK,43,0.19508793027885715,100.0,
so2sat,pca8,BSCM-PQK,43,0.18917477380432413,100.0,
so2sat,pca8,SRQFM-PQK,43,0.1946608975677324,100.0,
so2sat,pca8,RBF-SVM,43,0.19360215863657004,100.0,scale
so2sat,pca8,RandomForest,43,0.19372207581448184,,
so2sat,pca8,SG-BSCM-PQK,44,0.1721402074944844,100.0,
so2sat,pca8,BSCM-PQK,44,0.18540251069670025,100.0,
so2sat,pca8,SRQFM-PQK,44,0.17441680019426647,100.0,
so2sat,pca8,RBF-SVM,44,0.16922049071399653,100.0,scale
so2sat,pca8,RandomForest,44,0.19020789503976007,,
so2sat,pca8,SG-BSCM-PQK,45,0.1322119550405678,10.0,
so2sat,pca8,BSCM-PQK,45,0.16273242290810214,100.0,
so2sat,pca8,SRQFM-PQK,45,0.15278978221694317,10.0,
so2sat,pca8,RBF-SVM,45,0.1875471349284254,100.0,1.0
so2sat,pca8,RandomForest,45,0.20560090311499232,,
so2sat,pca8,SG-BSCM-PQK,46,0.16208246681424238,100.0,
so2sat,pca8,BSCM-PQK,46,0.19659871564341808,100.0,
so2sat,pca8,SRQFM-PQK,46,0.1631983884328357,100.0,
so2sat,pca8,RBF-SVM,46,0.17185975740091872,100.0,scale
so2sat,pca8,RandomForest,46,0.19999204418399702,,
eurosat,physics8,SG-BSCM-PQK,42,0.7114719968327586,100.0,
eurosat,physics8,BSCM-PQK,42,0.6939810956154624,100.0,
eurosat,physics8,SRQFM-PQK,42,0.7040937985670087,100.0,
eurosat,physics8,RBF-SVM,42,0.685084238157198,100.0,0.1
eurosat,physics8,RandomForest,42,0.6026006431218525,,
eurosat,physics8,SG-BSCM-PQK,43,0.6338797992478543,100.0,
eurosat,physics8,BSCM-PQK,43,0.6357061740506285,100.0,
eurosat,physics8,SRQFM-PQK,43,0.6476723162076619,100.0,
eurosat,physics8,RBF-SVM,43,0.6332263312620203,100.0,0.1
eurosat,physics8,RandomForest,43,0.5552854830298901,,
eurosat,physics8,SG-BSCM-PQK,44,0.6750845521455213,100.0,
eurosat,physics8,BSCM-PQK,44,0.657753359260373,100.0,
eurosat,physics8,SRQFM-PQK,44,0.6598233455781786,100.0,
eurosat,physics8,RBF-SVM,44,0.6454897506379763,100.0,scale
eurosat,physics8,RandomForest,44,0.6105492814066159,,
eurosat,physics8,SG-BSCM-PQK,45,0.6839352436066211,100.0,
eurosat,physics8,BSCM-PQK,45,0.6588751901591093,100.0,
eurosat,physics8,SRQFM-PQK,45,0.6686736842096839,100.0,
eurosat,physics8,RBF-SVM,45,0.6625388173824982,100.0,0.1
eurosat,physics8,RandomForest,45,0.6013957963083622,,
eurosat,physics8,SG-BSCM-PQK,46,0.6336428977164663,100.0,
eurosat,physics8,BSCM-PQK,46,0.6256165543125689,100.0,
